Age,Seniority,Orders,Items,AverageDiscount,TopCategory,BrowsingTime,EmailsOpened,SupportInteractions,TotalCart
21,5,3,3,0.17,Toys & Games,146.59791548009846,2,2,28.75
23,0,1,4,0.87,Electronics,50.46886545231411,1,2,10.61
23,1,1,6,0.77,Home & Kitchen,184.30634839640973,0,2,30.52
29,2,2,0,0.53,Sports & outdoors,30.10296721383026,0,2,14.46
24,0,5,2,0.06,"Health, Household & Baby Care",40.99681062672312,1,2,22.63
26,1,2,3,0.62,Beauty & Personal Care,115.6696503136053,0,1,26.22
27,1,2,6,0.77,Home & Kitchen,176.16844011093073,1,0,35.45
28,1,4,6,0.58,Beauty & Personal Care,640.996513022934,1,1,113.03
36,0,3,9,0.58,Electronics,254.4655083587373,1,2,57.12
20,2,4,4,0.0,"Health, Household & Baby Care",139.1568437204299,1,0,30.5
26,2,1,7,0.24,Toys & Games,29.428599856419073,1,0,9.11
33,1,4,9,0.76,Home & Kitchen,30.103627725019727,0,2,23.93
29,1,2,4,0.31,Electronics,129.07847629606354,1,1,29.62
27,3,1,7,0.07,Home & Kitchen,103.92606238033356,1,0,21.23
31,0,3,5,0.07,"Clothing,Shoes & Jewelry",143.28352241974088,3,2,37.61
28,0,3,5,0.76,Beauty & Personal Care,87.87994617085253,1,3,27.59
20,2,1,3,0.03,Home & Kitchen,0.4752186093690735,0,1,0.42
37,0,4,3,0.85,Sports & outdoors,95.11375620579805,2,1,37.51
23,1,1,3,0.25,"Clothing,Shoes & Jewelry",130.035269455743,1,3,22.49
24,0,3,3,0.4,Toys & Games,111.72419990819726,1,0,26.44
16,1,2,5,0.13,"Clothing,Shoes & Jewelry",9.197659032027108,0,0,1.28
27,5,0,5,0.78,Beauty & Personal Care,4.014759765899602,1,0,0.0
21,0,3,6,0.72,"Clothing,Shoes & Jewelry",418.3377670691646,1,4,70.59
26,0,1,8,0.4,Beauty & Personal Care,88.15157908370146,2,2,20.58
28,1,4,1,0.78,"Clothing,Shoes & Jewelry",114.54719601333193,1,1,32.42
36,3,1,6,0.39,"Health, Household & Baby Care",148.27802712565799,0,1,34.18
24,1,2,8,0.16,Home & Kitchen,259.039011811948,0,1,45.54
20,2,2,4,0.22,"Clothing,Shoes & Jewelry",85.48839416418222,0,1,15.53
24,2,1,6,0.19,Toys & Games,273.02833788303775,0,0,43.7
26,2,4,3,0.66,"Health, Household & Baby Care",29.151536042599517,2,1,18.89
27,3,2,2,0.12,Beauty & Personal Care,136.65504232080812,2,1,30.55
30,1,2,3,0.46,"Clothing,Shoes & Jewelry",40.945415290805826,0,3,16.86
26,1,2,5,0.01,Beauty & Personal Care,62.85328513960375,1,2,19.11
16,3,2,5,0.56,"Clothing,Shoes & Jewelry",98.74424171799552,1,0,14.43
30,1,2,5,0.89,"Clothing,Shoes & Jewelry",66.99433223815274,0,0,20.22
23,1,2,3,0.14,Beauty & Personal Care,166.70495407736104,2,1,32.67
20,0,2,3,0.59,"Health, Household & Baby Care",182.37043368605993,2,0,31.84
24,0,1,4,0.05,"Clothing,Shoes & Jewelry",194.938718796315,0,0,32.45
22,0,1,3,0.39,Toys & Games,346.5374603885692,2,1,54.77
31,1,0,6,0.64,"Clothing,Shoes & Jewelry",79.28896365759462,3,3,0.0
28,2,0,4,0.06,Beauty & Personal Care,0.09519134538448243,0,1,0.0
23,0,1,6,0.26,"Clothing,Shoes & Jewelry",159.0112944919544,0,1,26.43
34,1,3,3,0.57,Beauty & Personal Care,200.67819442457687,0,0,47.84
28,2,3,1,0.65,Beauty & Personal Care,13.92956096980324,2,1,16.02
26,1,3,3,0.8,Beauty & Personal Care,161.62434574640815,0,1,36.06
28,1,1,5,0.82,Toys & Games,44.85477422581852,1,2,13.32
28,4,2,1,0.45,Beauty & Personal Care,115.54263812649044,0,1,26.82
21,0,2,3,0.18,Toys & Games,497.0002408376385,0,0,78.6
26,1,1,3,0.09,"Clothing,Shoes & Jewelry",441.4454609968681,1,0,71.05
22,2,3,3,0.74,"Health, Household & Baby Care",404.63167031031526,1,2,68.88
31,2,0,10,0.15,Sports & outdoors,90.47547675667751,1,0,0.0
29,1,0,5,0.02,Pet Supplies,65.89966315928224,4,0,0.0
